id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_estimators,criterion,max_depth,min_samples_leaf,max_features,bootstrap,n_jobs,random_state,class_weight
513,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,10,114,True,-1,707878,
514,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,114,True,-1,707878,
515,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,114,True,-1,707878,
516,euclidian_px_all,randomforestclassifier,None,0.7054545454545454,"(0.6232457096703565, 0.7876633812387344)",0.64,0.615,0.6111111111111112,1000,gini,,1,118,True,-1,707878,
517,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7054761904761905,0.615,0.6421717171717172,1000,gini,,2,118,True,-1,707878,
518,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7054761904761905,0.615,0.6421717171717172,1000,gini,,5,118,True,-1,707878,
519,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,10,118,True,-1,707878,
520,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,118,True,-1,707878,
521,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,118,True,-1,707878,
522,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6432070948556698, 0.8058838142352391)",0.6583333333333333,0.665,0.6456349206349206,1000,gini,,1,122,True,-1,707878,
523,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.6988095238095238,0.64,0.6516955266955267,1000,gini,,2,122,True,-1,707878,
524,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6888095238095238,0.5900000000000001,0.6183621933621933,1000,gini,,5,122,True,-1,707878,
525,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6409582454525862, 0.8244963000019592)",0.6804761904761906,0.615,0.6290764790764791,1000,gini,,10,122,True,-1,707878,
526,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6553593752822814, 0.8119133519904459)",0.7000000000000001,0.64,0.6444444444444445,1000,gini,,15,122,True,-1,707878,
527,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,122,True,-1,707878,
528,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6833333333333333,0.64,0.6452380952380953,1000,gini,,1,126,True,-1,707878,
529,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6398425242210048, 0.8074302030517224)",0.675,0.615,0.6273809523809524,1000,gini,,2,126,True,-1,707878,
530,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.6888095238095239,0.615,0.63502886002886,1000,gini,,5,126,True,-1,707878,
531,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6409582454525862, 0.8244963000019592)",0.6804761904761906,0.615,0.6290764790764791,1000,gini,,10,126,True,-1,707878,
532,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6682646950941515, 0.8171898503603938)",0.7071428571428572,0.64,0.6505050505050505,1000,gini,,15,126,True,-1,707878,
533,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,126,True,-1,707878,
534,euclidian_px_all,randomforestclassifier,None,0.7427272727272728,"(0.6622016784386419, 0.8232528670159037)",0.6933333333333332,0.665,0.6619047619047619,1000,gini,,1,130,True,-1,707878,
535,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.629292316343998, 0.8179804109287293)",0.6733333333333333,0.64,0.6396825396825397,1000,gini,,2,130,True,-1,707878,
536,euclidian_px_all,randomforestclassifier,None,0.7418181818181818,"(0.6532273251364491, 0.8304090384999145)",0.6971428571428572,0.615,0.6362193362193362,1000,gini,,5,130,True,-1,707878,
537,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,1000,gini,,10,130,True,-1,707878,
538,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,130,True,-1,707878,
539,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,130,True,-1,707878,
540,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.629292316343998, 0.8179804109287293)",0.6733333333333333,0.64,0.6396825396825397,1000,gini,,1,134,True,-1,707878,
541,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6495710154032556, 0.8177017118694717)",0.6888095238095239,0.615,0.63502886002886,1000,gini,,2,134,True,-1,707878,
542,euclidian_px_all,randomforestclassifier,None,0.7518181818181818,"(0.6696750982474247, 0.833961265388939)",0.7138095238095239,0.64,0.66002886002886,1000,gini,,5,134,True,-1,707878,
543,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6409582454525862, 0.8244963000019592)",0.6804761904761906,0.615,0.6290764790764791,1000,gini,,10,134,True,-1,707878,
544,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,134,True,-1,707878,
545,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,134,True,-1,707878,
546,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6284833674817999, 0.8006075416091091)",0.6483333333333333,0.64,0.628968253968254,1000,gini,,1,138,True,-1,707878,
547,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6565642458346096, 0.8288902996199358)",0.6971428571428573,0.64,0.6528860028860028,1000,gini,,2,138,True,-1,707878,
548,euclidian_px_all,randomforestclassifier,None,0.7518181818181818,"(0.6696750982474247, 0.833961265388939)",0.7138095238095239,0.64,0.66002886002886,1000,gini,,5,138,True,-1,707878,
549,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,10,138,True,-1,707878,
550,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6616114301895597, 0.8056612970831676)",0.6988095238095238,0.615,0.6326479076479077,1000,gini,,15,138,True,-1,707878,
551,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,138,True,-1,707878,
552,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.65,0.64,0.6277777777777779,1000,gini,,1,142,True,-1,707878,
553,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.623186937167376, 0.8059039719235329)",0.665,0.615,0.6218253968253968,1000,gini,,2,142,True,-1,707878,
554,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7054761904761905,0.615,0.6421717171717172,1000,gini,,5,142,True,-1,707878,
555,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,1000,gini,,10,142,True,-1,707878,
556,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,142,True,-1,707878,
557,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,142,True,-1,707878,
558,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.629292316343998, 0.8179804109287293)",0.6733333333333333,0.64,0.6396825396825397,1000,gini,,1,146,True,-1,707878,
559,euclidian_px_all,randomforestclassifier,None,0.7327272727272727,"(0.6409582454525862, 0.8244963000019592)",0.6804761904761906,0.64,0.6457431457431457,1000,gini,,2,146,True,-1,707878,
560,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6565642458346096, 0.8288902996199358)",0.6971428571428573,0.64,0.6528860028860028,1000,gini,,5,146,True,-1,707878,
561,euclidian_px_all,randomforestclassifier,None,0.7145454545454545,"(0.6341278758578102, 0.7949630332330988)",0.6721428571428572,0.5650000000000001,0.5921717171717172,1000,gini,,10,146,True,-1,707878,
562,euclidian_px_all,randomforestclassifier,None,0.7336363636363636,"(0.6616114301895597, 0.8056612970831676)",0.6988095238095238,0.615,0.6326479076479077,1000,gini,,15,146,True,-1,707878,
563,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,146,True,-1,707878,
564,euclidian_px_all,randomforestclassifier,None,0.7054545454545454,"(0.6232457096703565, 0.7876633812387344)",0.64,0.615,0.6111111111111112,1000,gini,,1,150,True,-1,707878,
565,euclidian_px_all,randomforestclassifier,None,0.7054545454545454,"(0.6232457096703565, 0.7876633812387344)",0.665,0.5900000000000001,0.6027777777777779,1000,gini,,2,150,True,-1,707878,
566,euclidian_px_all,randomforestclassifier,None,0.7427272727272727,"(0.6622016784386417, 0.8232528670159036)",0.7054761904761905,0.615,0.6421717171717172,1000,gini,,5,150,True,-1,707878,
567,euclidian_px_all,randomforestclassifier,None,0.7236363636363636,"(0.6344113481321031, 0.8128613791406242)",0.6721428571428572,0.5900000000000001,0.6112193362193362,1000,gini,,10,150,True,-1,707878,
568,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6492046761498459, 0.7998862329410631)",0.6916666666666667,0.615,0.6265873015873016,1000,gini,,15,150,True,-1,707878,
569,euclidian_px_all,randomforestclassifier,None,0.7154545454545456,"(0.637538531993133, 0.7933705589159581)",0.675,0.5900000000000001,0.6027777777777776,1000,gini,,20,150,True,-1,707878,
570,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.6432070948556698, 0.8058838142352391)",0.6583333333333333,0.665,0.6456349206349206,1000,gini,,1,154,True,-1,707878,
571,euclidian_px_all,randomforestclassifier,None,0.7245454545454545,"(0.637622358507673, 0.811468550583236)",0.6816666666666668,0.615,0.628968253968254,1000,gini,,2,154,True,-1,707878,
